Announce Date,Reference_Year,Ticker,Acquirer Name,Annual_Sales,Acquirer_GHG_Emissions,Carbon_Intensity,Acquirer_Classification,Target Name,Target_Classification,Seller Name,Announced Total Value (mil.),TV/EBITDA,Deal Status
18-01-2023,2022,SHEL,Shell PLC,381314,41006166.52,271.7385,Brown,Volta Inc,Neutral,,149.16,,Completed
18-01-2023,2022,DUK,Duke Energy Corp,28768,78800000,5571.7764,Brown,Pike Engineering LLC,Brown,,,,Completed
05-01-2023,2022,PSX,Phillips 66,169990,27764607.2,137.7066,Brown,DCP Midstream LP,Brown,,3783.87,7.47,Completed
04-01-2023,2022,HASI,HA Sustainable Infrastructure,239.737,0,0,Green,Portfolio of 1.3 GW renewables/US,Green,AES Corp/The,,,Completed
03-01-2023,2022,TRGP,Targa Resources Corp,20929.8,8434072.294,413.3712,Brown,Grand Prix NGL Pipeline,Brown,Blackstone Inc,1050,,Completed
03-01-2023,2022,AMPS,Altus Power Inc,101.163,440.413,4.3535,Green,220 mw solar assets/True Green Capital Management LLC,Green,True Green Capital Management LLC,293,,Completed
03-01-2023,2022,SHEL,Shell PLC,381314,41006166.52,271.7385,Brown,TF Hudgins Inc,Brown,CapStreet Group LLC/The,,,Completed
21-12-2022,2021,AM,Antero Midstream Corp,898.202,850474.9895,946.8638,Brown,Certain compression assets/Utica,Neutral,EnLink Midstream LLC,10,,Completed
19-12-2022,2021,LINK,Interlink Electronics Inc,7.478,1280.43,171.2263,Brown,"KWJ Engineering Inc,Spec Sensors LLC",Brown,,2,,Completed
17-12-2022,2021,CPK,Chesapeake Utilities Corp,569.968,221805,199.8142,Brown,Propane operating assets/Hernando Gas LLC,Brown,Hernando Gas LLC,,,Completed
06-12-2022,2021,NRG,NRG Energy Inc,26989,18279398.4,6792.4745,Brown,Vivint Smart Home Inc,Neutral,,5017.07,9.53,Completed
28-11-2022,2021,PATK,Patrick Industries Inc,4078.092,62251.641,15.2649,Green,Transhield Inc,Neutral,Ancor Holdings LP,,,Completed
18-11-2022,2021,CVX,Chevron Corp,155606,28582001.82,478.9338,Brown,Beyond6 LLC,Neutral,,,,Completed
18-11-2022,2021,CVX,Chevron Corp,155606,28582001.82,478.9338,Brown,Beyond6 LLC,Green,"Mercuria Energy Trading Inc,Unknown Seller",,,Completed
16-11-2022,2021,FANG,Diamondback Energy Inc,5567,1253208.511,284.1958,Brown,Lario Permian LLC,Brown,Lario Oil & Gas Co,1494.76,,Completed
15-11-2022,2021,CMC,Commercial Metals Co,6729.76,49.5186227,0.0074,Green,Metals recycling facility & related assets/Galveston,Neutral,"Kodiak Properties LLC,Kodiak Resources Inc",,,Completed
11-11-2022,2021,AIV,Apartment Investment and Management Co,172.113,2054.295,11.9357,Green,Howard Energy Partners,Brown,,,,Completed
07-11-2022,2021,CPK,Chesapeake Utilities Corp,569.968,221805,199.8142,Brown,Planet Found Energy Development LLC,Brown,,9.4,,Completed
06-11-2022,2021,KMI,Kinder Morgan Inc,16610,14100000,169.5854,Brown,STX Midstream pipeline/NextEra Energy Partners LP,Brown,XPLR Infrastructure LP,1831,,Completed
02-11-2022,2021,PUMP,ProPetro Holding Corp,874.514,14877.679,18.1255,Green,Silvertip Completion Services,Green,,136.16,,Completed
02-11-2022,2021,CEG,Constellation Energy Corp,19649,11387377.59,579.5398,Brown,Rebate Business/Bill Identity Ltd,Neutral,Optima Technology Group Ltd,2.8,,Completed
02-11-2022,2021,WTTR,Select Water Solutions Inc,764.62,335852.059,93.8009,Brown,"Breakwater Energy Partners LLC,Breakwater & water pipeline assets/Cypress Environmental Services LLC",Green,Cypress Environmental Partners,,,Completed
27-10-2022,2021,ARIS,Aris Water Solution Inc,229.251,19451.66905,84.8488,Brown,Intellectual property rights and related proprietary treatment technologies,Neutral,Water Standard Management US Inc,,,Completed
26-10-2022,2021,BH,Biglari Holdings Inc,366.106,6418.043,17.5306,Green,Abraxas Petroleum Corp,Brown,,54.9,1.2,Completed
26-10-2022,2021,PROP,Prairie Operating Co,0.8076,301.2594448,373.0305,Brown,Prairie Operating Co LLC,Green,,28.2,,Completed
26-10-2022,2021,NOA,North American Construction Group Ltd,654.143,10842.84,16.5756,Green,ML Northern Services Ltd,Brown,,11.06,,Completed
18-10-2022,2021,D,Dominion Energy Inc,13964,15471297.2,2673.0816,Brown,Energy Storage Project/East Point Energy,Green,East Point Energy LLC,,,Completed
12-10-2022,2021,FANG,Diamondback Energy Inc,5567,1253208.511,284.1958,Brown,Firebird Energy LLC,Brown,,1555.05,,Completed
11-10-2022,2021,NOG,Northern Oil and Gas Inc,496.899,342025.4175,863.4427,Brown,Non operated interests/Northern Delaware Basin,Neutral,,130,,Completed
01-10-2022,2021,NOA,North American Construction Group Ltd,654.143,10842.84,16.5756,Green,ML Northern Services Ltd,Neutral,,,,Completed
30-09-2022,2021,NOG,Northern Oil and Gas Inc,496.899,342025.4175,863.4427,Brown,Non operated interests/Delaware Basin,Neutral,Alpha Energy Partners LLC,157.5,,Completed
29-09-2022,2021,DTM,DT Midstream Inc,840,39311.38845,46.7993,Brown,Millennium Pipeline Co LLC,Brown,National Grid PLC,552,,Completed
29-09-2022,2021,DTM,DT Midstream Inc,840,39311.38845,46.7993,Brown,Millennium Pipeline/US,Brown,National Grid PLC,552,,Completed
29-09-2022,2021,BN,Brookfield Corp,75731,778802.7825,21.4077,Green,Standard Solar Inc,Green,Energir Inc,530,,Completed
29-09-2022,2021,ENB,Enbridge Inc,47071,7431128,82.1969,Brown,Tri Global Energy LLC,Green,"Altius Minerals Corp,Unknown Seller",270,,Completed
23-09-2022,2021,ETR,Entergy Corp,11742.896,35663689,3003.6345,Brown,475 MW Solar Gnerating capacity/US,Green,,,,Completed
22-09-2022,2021,TALO,Talos Energy Inc,1212.503,1143630.466,943.1981,Brown,Enven Energy Corp,Neutral,,1108.47,,Completed
13-09-2022,2021,AM,Antero Midstream Corp,898.202,850474.9895,946.8638,Brown,Marcellus natural gas gathering & compression assets/West Virginia,Brown,Crestwood Equity Partners LP,205,,Completed
12-09-2022,2021,ARKO,Arko Corp,7417.398,79943.638,10.7779,Green,Transit Energy Group LLC,Neutral,,370,,Completed
09-09-2022,2021,SPRU,Spruce Power Holding Corp,15.6,179.523,11.9472,Green,Spruce Power Holdings LLC,Green,HPS Investment Partners LLC,58,,Completed
07-09-2022,2021,EQT,EQT Corp,4680.893,319886,258.5549,Brown,"Upstream assets/THQ Appalachia I LLC,Gathering & processing assets/THQ-XcL Holdings I LLC",Neutral,Quantum Energy Partners LLC,4939.63,,Completed
18-08-2022,2021,ENB,Enbridge Inc,47071,7431128,82.1969,Brown,Gray Oak Pipeline LLC,Brown,Phillips 66,,,Completed
17-08-2022,2021,NOG,Northern Oil and Gas Inc,496.899,342025.4175,863.4427,Brown,Non operated interests/Midland Basin,Neutral,,110,,Completed
15-08-2022,2021,BKR,Baker Hughes Co,20502,391346,19.0882,Green,Quest Integrity Group LLC,Brown,Team Inc,280,,Completed
11-08-2022,2021,KMI,Kinder Morgan Inc,16610,14100000,169.5854,Brown,North American Natural Resources Inc,Green,,135,,Completed
09-08-2022,2021,DVN,Devon Energy Corp,12206,1543105.449,708.9498,Brown,Validus Energy Aquilas Assetco LLC,Brown,,1800,,Completed
09-08-2022,2021,APA,APA Corp,8079,6257760.455,774.5712,Brown,Mining properties/Texas Delaware Basin,Neutral,,505,,Completed
09-08-2022,2021,EVRG,Evergy Inc,5586.7,26540373,4750.6351,Brown,199 MW Persimmon creek wind Farm/Oklahoma,Green,"Gestamp Eolica SL,Scout Clean Energy LLC",250,,Completed
09-08-2022,2021,EVRG,Evergy Inc,5586.7,26540373,4750.6351,Brown,Wind farm/Oklahoma,Green,,,,Completed
04-08-2022,2021,ARIS,Aris Water Solution Inc,229.251,19451.66905,84.8488,Brown,Delaware Energy Services LLC,Brown,,128.8,,Completed
03-08-2022,2021,BWA,BorgWarner Inc,11803,99997.344,8.4722,Green,Rhombus Energy Solutions Inc,Green,"Nabtesco Corp,Inci Holding AS,Golden Regent Electronics Industrial Ltd,Greenhouse Capital Partners (Fund: Greenhouse Capital Partners II LP),Cycle Capital Management CCM Inc (Fund: Cycle Capital Fund IV LP),Emerald Technology Ventures AG (Fund: Emerald Water Innovation Impact Fund LP)",130,,Completed
03-08-2022,2021,AEP,American Electric Power Co Inc,16792,28544859.42,3035.829,Brown,595 MW Cardinal Plant Unit 1/Brilliant,Neutral,AEP Generation Resources Inc,,,Completed
28-07-2022,2021,PBF,PBF Energy Inc,27253.4,14160000,269.0015,Brown,PBF Logistics LP,Neutral,,1096.91,6.88,Completed
25-07-2022,2021,SHEL,Shell PLC,261504,45504846.91,271.7385,Brown,Shell Midstream Partners LP,Brown,,1963.6,23.35,Completed
20-07-2022,2021,BLK,BlackRock Inc,19374,5308,0.5499,Green,Vanguard Renewables LLC,Green,Vision Ridge Partners LLC,,,Completed
19-07-2022,2021,KMI,Kinder Morgan Inc,16610,14100000,169.5854,Brown,3 landfill assets/Mas CanAm LLC,Neutral,MAS CanAm LLC,355,,Completed
14-07-2022,2021,EGY,VAALCO Energy Inc,199.075,107795.816,541.4834,Brown,TransGlobe Energy Corp,Brown,,328.51,1.76,Completed
07-07-2022,2021,POR,General Electric Co,2396,5859714,6102.053,Brown,Nexus Controls LLC,Neutral,Baker Hughes Co,,,Completed
05-07-2022,2021,REI,Ring Energy Inc,196.306,121754.811,479.2399,Brown,"Stronghold Energy II Operating LLC,Stronghold Energy II Royalties LP",Brown,"Warburg Pincus LLC,Unknown Seller",262.51,,Completed
05-07-2022,2021,NNI,Nelnet Inc,1500.914,993.765,0.6621,Green,Grne Solutions LLC,Green,,,,Completed
17-06-2022,2021,TRGP,Targa Resources Corp,16949.8,7006559.465,413.3712,Brown,Lucid Energy Group LLC,Brown,"Goldman Sachs Asset Management LP,Encap Flatrock Midstream,Riverstone Holdings LLC (Fund: Riverstone Pattern Energy II LP)",3550,,Completed
09-06-2022,2021,DVN,Devon Energy Corp,12206,1543105.449,708.9498,Brown,Leasehold interest & related assets/RimRock Oil and Gas LP,Brown,Rimrock Oil & Gas LP,865,,Completed
08-06-2022,2021,NOG,Northern Oil and Gas Inc,496.899,342025.4175,863.4427,Brown,Non operated interests/Williston Basin,Neutral,,158,,Completed
01-06-2022,2021,MYE,Myers Industries Inc,761.435,51316.826,67.3949,Brown,Mohawk Rubber Sales of NE Inc,Neutral,ISO New England Inc,27.8,,Completed
31-05-2022,2021,SU,Suncor Energy Inc,39132,10848667.93,238.9831,Brown,White Rose asset,Neutral,Cenovus Energy Inc,39.58,,Completed
31-05-2022,2021,PROP,Prairie Operating Co,0.8076,301.2594448,373.0305,Brown,Certain energy assets/South Dakota,Neutral,Highwire Energy Partners LLC,,,Completed
26-05-2022,2021,FF,FutureFuel Corp,321.386,33963.84172,105.6793,Brown,Cebolleta Uranium Project/Cibola County,Neutral,Encore Energy Corp,92.72,,Completed
19-05-2022,2021,PR,Permian Resources Corp,897.767,412346.996,369.5357,Brown,Colgate Energy Partners III LLC,Neutral,,2612.61,,Completed
17-05-2022,2021,HLX,Helix Energy Solutions Group Inc,674.728,205000,24.3523,Green,Alliance Offshore LLC,Neutral,,120,,Completed
16-05-2022,2021,FANG,Diamondback Energy Inc,5567,1253208.511,284.1958,Brown,Rattler Midstream LP,Brown,,1281.66,5.61,Completed
05-05-2022,2021,CAT,Caterpillar Inc,50971,250507.1834,18.9317,Green,Tangent Energy Solutions Inc,Neutral,,,,Completed
03-05-2022,2021,RDUS,Radius Recycling Inc,2758.551,2928.054,1.0614,Green,Operating assets/Encore Recycling LLC,Neutral,Encore Recycling LLC,,,Completed
28-04-2022,2021,HPK,HighPeak Energy Inc,220.124,121707.359,552.9036,Brown,Howard County assets,Neutral,Hannathon Petroleum LLC,345.37,,Completed
27-04-2022,2021,CHX,ChampionX Corp,3074.99,76396,13.4338,Green,Leak Surveys Inc,Neutral,,3.7,,Completed
26-04-2022,2021,ST,Sensata Technologies Holding PLC,3820.806,10328.077,2.7031,Green,Dynapower Co LLC,Green,Pfingsten Partners LLC,580,,Completed
20-04-2022,2021,BKR,Baker Hughes Co,20502,391346,19.0882,Green,Mosaic Materials Inc,Green,"Baruch Future Ventures LLC,Unknown Seller,Evok Innovations Inc",,,Completed
19-04-2022,2021,ALE,ALLETE Inc,1419.2,2599166.9000000004,8639.0694,Brown,New Energy Equity,Green,,165.5,,Completed
11-04-2022,2021,SUN,Sunoco LP,17596,170456.023,5.8905,Green,Gladieux Energy LLC,Neutral,,190,,Completed
04-04-2022,2021,HPK,HighPeak Energy Inc,220.124,121707.359,552.9036,Brown,Oil & gas properties/Permian Basin,Brown,Alamo Frac Holdings LLC,201,,Completed
04-04-2022,2021,AMTX,Aemetis Inc,211.949,55040.79,259.6888,Brown,8.5 acre property/California,Neutral,,2,,Completed
31-03-2022,2021,FCPT,Four Corners Property Trust Inc,199.378,2592.857,13.4456,Green,Express Oil Change property,Brown,,1.5,,Completed
28-03-2022,2021,USDP,USD Partners LP,204.485,3519.146,33.4698,Brown,Hardisty South terminal assets/USD Group LLC,Neutral,USD Group LLC,107.47,,Completed
17-03-2022,2021,TRGP,Targa Resources Corp,16949.8,7006559.465,413.3712,Brown,Southcross Energy Operating LLC,Brown,,200,,Completed
15-03-2022,2021,ENPH,Enphase Energy Inc,1382.049,12095.162,35.4719,Brown,SolarLeadFactory LLC,Green,,,,Completed
08-03-2022,2021,SND,Smart Sand Inc,126.648,11663.009,93.8443,Brown,Hi-Crush Blair LLC,Brown,Hi-Crush Inc,6.5,,Completed
07-03-2022,2021,CHRD,Chord Energy Corp,1579.926,1457753.145,154.7814,Brown,Whiting Petroleum Corp,Brown,,3247,2.77,Completed
03-03-2022,2021,ALE,ALLETE Inc,1419.2,2599166.9000000004,8639.0694,Brown,NEW Energy Equity LLC,Green,"Unknown Seller,SmartPitch Ventures LLC",165.5,,Completed
28-02-2022,2021,CVX,Chevron Corp,155606,28582001.82,478.9338,Brown,Renewable Energy Group Inc,Green,,2769.66,8.87,Completed
25-02-2022,2021,NVAX,NOV Inc,1146.29,6696.684,22.11,Green,Advanced Drilling Solutions business/AFG Holdings Inc,Neutral,AFG Holdings Inc,,,Completed
23-02-2022,2021,BEEM,Beam Global,9.002,290.072,32.2231,Brown,AllCell Technologies LLC,Neutral,,13.67,,Completed
22-02-2022,2021,MTDR,Matador Resources Co,1641.97,774427,471.645,Brown,Producing & non-producing properties,Neutral,,242,,Completed
16-02-2022,2021,HNRG,Hallador Energy Co,247.666,650443.262,2626.2921,Brown,Merom generating station/Indiana,Neutral,Hoosier Energy Rural Electric Cooperative Inc,,,Completed
01-02-2022,2021,CIVI,Civitas Resources Inc,930.614,1278400,354.6455,Brown,Bison Oil & Gas II LLC,Brown,,345.42,,Completed
25-01-2022,2021,EXE,Expand Energy Corp,5809,927084.6285,178.5706,Brown,Chief E&D Holdings LP,Neutral,"Tug Hill Inc/Texas,Rees-Jones Foundation/The,Unknown Seller,Rees-Jones Family Holdings LP,Chief E&D GP LLC,Chief E&D Participants LP",2634.47,,Completed
20-01-2022,2021,HUT,Hut 8 Corp,138.6492,474.186,3.42,Green,Cloud & colocation data center business,Neutral,TeraGo Inc,24.07,,Completed
19-01-2022,2021,PLUG,Plug Power Inc,502.342,15963.06,44.3565,Brown,Joule Processing LLC,Neutral,,30,,Completed
18-01-2022,2021,ALTO,Alto Ingredients Inc,1207.892,220296.783,184.8723,Brown,Eagle Alcohol Co LLC,Neutral,,14,,Completed
13-01-2022,2021,DUK,Duke Energy Corp,24621,78000000,5571.7764,Brown,3211 Shannon Rd/Durham,Neutral,,,,Completed
04-01-2022,2021,FELE,Franklin Electric Co Inc,1661.865,23119.603,14.7948,Green,Blake Group Holdings Inc,Brown,,27.1,,Completed
23-12-2021,2020,FCPT,Four Corners Property Trust Inc,170.944,2298.444,13.4456,Green,2 Express Oil Change/Mississippi,Brown,,4.6,,Completed
21-12-2021,2020,ENPH,Enphase Energy Inc,774.4249999999998,26385.255,35.4719,Brown,365 Pronto Inc,Neutral,,,,Completed
17-12-2021,2020,BOOM,DMC Global Inc,229.161,1390.458489,6.0676,Green,Arcadia Inc,Neutral,,282.5,,Completed
16-12-2021,2020,ULBI,Ultralife Corp,107.712,4135.837,39.8598,Brown,Excell Battery Canada ULC,Neutral,,16.45,,Completed
16-12-2021,2020,ULBI,Ultralife Corp,107.712,4135.837,39.8598,Brown,656700 BC Ltd,Neutral,,7.05,,Completed
16-12-2021,2020,CPK,Chesapeake Utilities Corp,488.198,266679,199.8142,Brown,Operating Assets/Diversified Energy Co,Neutral,Diversified Energy Co PLC,,,Completed
14-12-2021,2020,GTLS,Chart Industries Inc,1177.1,17380,35.5866,Brown,Earthly Labs Inc,Green,,62,,Completed
14-12-2021,2020,ULBI,Ultralife Corp,107.712,4135.837,39.8598,Brown,Excell Battery Group,Neutral,,23.5,,Completed
14-12-2021,2020,SHEL,Shell PLC,180543,31526463.37,271.7385,Brown,MS Europe BV,Neutral,Multi Service Technology Solutions Inc,,,Completed
13-12-2021,2020,WTTR,Select Water Solutions Inc,605.105,33176.646,93.8009,Brown,Nuverra Environmental Solutions Inc,Green,,56.34,,Completed
13-12-2021,2020,TXNM,TXNM Energy Inc,1523.012,5602062.229,4989.812,Brown,Western Spirit transmission line,Green,,,,Completed
09-12-2021,2020,CHX,ChampionX Corp,1899.996,24884.581,13.4338,Green,"Tomson Technologies LLC,Group 2 Technologies LLC",Neutral,,,,Completed
07-12-2021,2020,AMRC,Ameresco Inc,1032.275,315545,23.7158,Green,Juice Technologies Inc,Neutral,,,,Completed
07-12-2021,2020,XOM,Exxon Mobil Corp,178574,108000000,598.3284,Brown,Materia Inc,Brown,,,,Completed
06-12-2021,2020,GIFI,Gulf Island Fabrication Inc,250.959,6908.99,27.5304,Brown,Dynamic Industries Inc,Brown,"Riverstone Holdings LLC (Fund: Carlyle/Riverstone Global Energy & Power Fund III LP),Carlyle Group Inc/The (Fund: Carlyle MC Partners LP)",,,Completed
02-12-2021,2020,GIFI,Gulf Island Fabrication Inc,250.959,6908.99,27.5304,Brown,Services & industrial staffing businesses/Dynamic Industries Inc,Neutral,Dynamic Group Holdings LLC,8,,Completed
30-11-2021,2020,GCMG,GCM Grosvenor Inc,422.395,173.881,0.4117,Green,Resource Waste Services LLC,Green,ReEnergy Holdings LLC,,,Completed
23-11-2021,2020,IEX,IDEX Corp,2351.646,30795.677,13.0954,Green,Nexsight LLC,Neutral,,112.5,,Completed
17-11-2021,2020,NOG,Northern Oil and Gas Inc,552.209,155885.1295,863.4427,Brown,non-operated Permian Basin assets,Neutral,Veritas Energy LLC,406.5,,Completed
16-11-2021,2020,ENPH,Enphase Energy Inc,774.4249999999998,26385.255,35.4719,Brown,ClipperCreek Inc,Green,,,,Completed
09-11-2021,2020,ADT,ADT Inc,5314.787,35816.075,6.7389,Green,Marc Jones Construction LLC,Green,Compass Group Equity Partners LLC,824.49,,Completed
05-11-2021,2020,SHEL,Shell PLC,180543,31526463.37,271.7385,Brown,"MSTS Payments LLC,Multi Service Fuel Card business",Neutral,Multi Service Technology Solutions Inc,,,Completed
03-11-2021,2020,OBE,Obsidian Energy Ltd,272.8,85831.814,314.6327,Brown,Peace River Oil Partnership,Brown,,35.04,,Completed
02-11-2021,2020,GNRC,Generac Holdings Inc,2485.2,75778.454,31.4087,Brown,ecobee Inc,Neutral,"Caisse de Depot et Placement du Quebec,Export Development Canada,Business Development Bank of Canada,Evergy Ventures Inc,Private Investor,Just Energy Group Inc,AGL Energy Ltd,Ontario Capital Growth Corp,Thomvest Ventures Inc,Tech Capital Partners Inc,Northleaf Capital Partners Ltd (Fund: Edge...",650,,Completed
29-10-2021,2020,WKC,World Kinect Corp,20358.3,41600,20.1849,Green,Flyers Energy LLC,Neutral,Dwelle Family Foundation Inc,725,,Completed
27-10-2021,2020,PSX,Phillips 66,64129,25490000,137.7066,Brown,Phillips 66 Partners LP,Brown,,2333.84,29.83,Completed
27-10-2021,2020,LBRT,Liberty Energy Inc,965.787,16570.243,17.1572,Green,PropX/Denver,Neutral,,90,,Completed
26-10-2021,2020,WFG,West Fraser Timber Co Ltd,5850,727714,124.3956,Brown,Oriented strand board mill/South Carolina,Neutral,,280,,Completed
22-10-2021,2020,XIFR,XPLR Infrastructure LP,917,48471.849,5.287,Green,Portfolio of 2520 MW renewables projects,Green,NextEra Energy Inc,849,,Completed
07-10-2021,2020,HRI,Herc Holdings Inc,1781.3,102469,57.5248,Brown,Rapid Equipment Rental Ltd,Neutral,,,,Completed
06-10-2021,2020,SWX,Southwest Gas Holdings Inc,3298.873,360785.4,109.3663,Brown,Dominion Energy Questar Pipeline LLC,Brown,Dominion Energy Inc,1975,,Completed
06-10-2021,2020,ARES,Ares Management Corp,2235.769,714.715,0.4453,Green,Apex Clean Energy Inc,Green,,,,Completed
01-10-2021,2020,CVX,Chevron Corp,94471,28078295.01,478.9338,Brown,American Natural Gas LLC,Brown,Mercuria Energy Trading SA,,,Completed
20-09-2021,2020,MTRN,Materion Corp,1176.274,39393.068,33.4897,Brown,HCS-Electronic Materials,Neutral,HC Starck Inc,380,,Completed
07-09-2021,2020,ENB,Enbridge Inc,39087,6852670,82.1969,Brown,Moda Midstream Operating LLC,Brown,Encap Flatrock Midstream,3000,,Completed
02-09-2021,2020,PWR,Quanta Services Inc,11202.672,233082.175,25.6389,Brown,Blattner Holding Co,Green,,2700,,Completed
18-08-2021,2020,BLK,BlackRock Inc,16205,4090,0.5499,Green,National Renewable Solutions LLC,Green,,,,Completed
17-08-2021,2020,WTTR,Select Water Solutions Inc,605.105,33176.646,93.8009,Brown,Agua Libre Midstream LLC,Brown,Basic Energy Services Inc,19.54,,Completed
17-08-2021,2020,BRY,Berry Corp,523.833,805281.7146,1537.2871,Brown,C&J Well Services Inc,Brown,Basic Energy Services Inc,,,Completed
11-08-2021,2020,EXE,Expand Energy Corp,5240,935709.7725,178.5706,Brown,Vine Energy Inc,Neutral,,1459.77,,Completed
03-08-2021,2020,DINO,HF Sinclair Corp,11183.643,5479000,489.9119,Brown,"Marketing & diesel business,2 refineries/Rocky Mountain",Neutral,Sinclair Cos/The,1783.29,,Completed
02-08-2021,2020,SUN,Sunoco LP,10710,21545,5.8905,Green,Portfolio of 8 terminal locations/NuStar Energy LP,Brown,NuStar Energy LP,250,,Completed
27-07-2021,2020,SHEL,Shell PLC,180543,31526463.37,271.7385,Brown,Inspire Energy Capital LLC,Green,,,,Completed
23-07-2021,2020,DUK,Duke Energy Corp,23868,74985884.11,5571.7764,Brown,CNG fueling station/South Carolina,Brown,Spire Inc,,,Completed
16-07-2021,2020,KMI,Kinder Morgan Inc,11700,15600000,169.5854,Brown,Kinetrex Energy,Brown,Parallel49 Equity,310,,Completed
14-07-2021,2020,ORA,Ormat Technologies Inc,705.342,140128.081,256.4417,Brown,TG Geothermal Portfolio LLC,Green,,171,,Completed
12-07-2021,2020,WTTR,Select Water Solutions Inc,605.105,33176.646,93.8009,Brown,Complete Energy Services LLC,Neutral,Superior Energy Services Inc,36.44,,Completed
09-07-2021,2020,KMI,Kinder Morgan Inc,11700,15600000,169.5854,Brown,Twin Tier Pipeline LLC,Neutral,"Consolidated Edison Inc,Crestwood Equity Partners LP",30,,Completed
06-07-2021,2020,PTEN,Patterson-UTI Energy Inc,1124.249,134439.391,105.9872,Brown,Pioneer Energy Services Corp,Neutral,,425.8,21.42,Completed
05-07-2021,2020,CHX,ChampionX Corp,1899.996,24884.581,13.4338,Green,Scientific Aviation Inc,Green,,,,Completed
01-07-2021,2020,CDZI,Cadiz Inc,0.541,6.843,12.6488,Green,220 mile Northern Pipeline,Brown,Kinder Morgan Inc,19,,Completed
30-06-2021,2020,CE,Celanese Corp,5655,1139252.19,126.9003,Brown,Santoprene synthetic rubber business/ExxonMobil,Brown,Exxon Mobil Corp,1150,,Completed
08-06-2021,2020,RF,Regions Financial Corp,6655,291136,43.747,Brown,EnerBank USA,Neutral,CMS Energy Corp,960,,Completed
08-06-2021,2020,APO,Apollo Global Management Inc,2110.9,211,0.1,Green,Total Operations & Production Services LLC,Neutral,Black Bay Energy Capital LLC,,,Completed
01-06-2021,2020,KMI,Kinder Morgan Inc,11700,15600000,169.5854,Brown,Stagecoach Gas Services LLC,Brown,"Consolidated Edison Inc,Crestwood Equity Partners LP",1225,,Completed
27-05-2021,2020,MS,Morgan Stanley,52606,17170.69892,0.3264,Green,Produced water infrastructure assets/Hibernia Energy III LLC,Neutral,Hibernia Energy LLC,,,Completed
27-05-2021,2020,MS,Morgan Stanley,52606,17170.69892,0.3264,Green,Produced water infrastructure assets,Neutral,Hibernia Energy LLC,,,Completed
24-05-2021,2020,CTRA,Coterra Energy Inc,1466,302393.901,274.3338,Brown,Cimarex Energy Co,Brown,,8815.27,,Completed
17-05-2021,2020,SPRU,Spruce Power Holding Corp,20.338,242.983,11.9472,Green,World Energy Efficiency Services LLC,Green,,15,,Completed
12-05-2021,2020,D,Dominion Energy Inc,14172,14575889.35,2673.0816,Brown,Birdseye Renewable Energy LLC,Green,BRE Holdings LLC,28,,Completed
12-05-2021,2020,DTE,DTE Energy Co,11423,20962000.49,1907.4766,Brown,Isabella Wind I and II projects/Isabella County,Green,Greenlight Energy Resources Inc,,,Completed
10-05-2021,2020,CIVI,Civitas Resources Inc,218.09,1200551,354.6455,Brown,Extraction Oil & Gas Inc,Brown,,1382.69,,Completed
06-05-2021,2020,EQT,EQT Corp,3557.449,338799.56,258.5549,Brown,"Eqt Amd LLC,EQT ARO LLC",Neutral,,2925,,Completed
06-05-2021,2020,AMSC,American Superconductor Corp,63.838,101860.588,1152.5556,Brown,Neeltran Inc,Neutral,,8.8,,Completed
03-05-2021,2020,CHRD,Chord Energy Corp,1307.674,537377.29,154.7814,Brown,Williston Basin assets/Diamondback Energy Inc,Brown,Diamondback Energy Inc,745,,Completed
22-04-2021,2020,AEP,American Electric Power Co Inc,14918.5,25012316.5,3035.829,Brown,100 MW Dry Lake Solar Project,Green,,114,,Completed
19-04-2021,2020,XIFR,XPLR Infrastructure LP,917,48471.849,5.287,Green,Portfolio of 4 operating wind assets/US,Green,Brookfield Renewable Partners LP,733,,Completed
14-04-2021,2020,EOSE,Eos Energy Enterprises Inc,0.219,6.282,28.6849,Brown,HI-Power LLC,Neutral,Holtec International Corp,0.03,,Completed
14-04-2021,2020,EOSE,Eos Energy Enterprises Inc,0.219,6.282,28.6849,Brown,HI-Power LLC,Neutral,,,,Completed
05-04-2021,2020,DNOW,DNOW Inc,1619,24600,23.8097,Green,Flex Flow Services LLC,Neutral,GR Energy Services LLC,90,,Completed
18-03-2021,2020,PPL,PPL Corp,5474,6895908.316,1951.0449,Brown,Narragansett Electric Co/The,Neutral,National Grid PLC,3770,,Completed
09-03-2021,2020,EFX,Equifax Inc,4127.5,6751.474,1.6357,Green,HireTechs.com,Neutral,Green Day Technologies Inc,,,Completed
05-03-2021,2020,CVX,Chevron Corp,94471,28078295.01,478.9338,Brown,Noble Midstream Partners LP,Neutral,,454.5,4.62,Completed
22-02-2021,2020,BIPC,Brookfield Infrastructure Corp,1430,299516.816,209.4523,Brown,Inter Pipeline Ltd,Brown,,10949.35,15.14,Completed
22-02-2021,2020,ADN,Advent Technologies Holdings I,0,1226.1723333333332,,,UltraCell LLC,Green,Bren-Tronics Inc,,,Completed
18-02-2021,2020,VRN,Veren Inc,1733.7,1126052.5,502.3677,Brown,Kaybob Duvernay assets/Shell Canada Energy,Brown,Shell PLC,854.19,,Completed
17-02-2021,2020,NOVA,Sunnova Energy International Inc,160.82,3516.263,21.8646,Green,SunStreet Energy Group LLC,Neutral,Lennar Corp,162.73,,Completed
