Deal Announce Date,Previous Year,Acquirer Ticker,Acquirer Name,Acquirer_GHG_Emissions,Carbon_Intensity,Acquirer_Classification,Target Name,Target_Classification,Seller Name,Announced Total Value (mil.),T_minus_10_Date,T_minus_10_Price,T_plus_10_Date,T_plus_10_Price,Market_Cap_AD_mil,ROA_percent,Deal Status
16-08-2023,2022,DINO,HF Sinclair Corp,8525000,838.1064,Brown,Holly Energy Partners LP,Neutral,,3748.21,04-08-2023,51.94,28-08-2023,53.81,10171.74,-1.28,Completed
16-08-2023,2022,OXY,Occidental Petroleum Corp,17551718.18,305.643,Brown,Carbon Engineering Ltd,Neutral,"BHP Group Ltd,Airbus SE,Air Canada,Thomvest Ventures Inc,Lowercase Capital LLC (Fund: Lowercase Frontier LP),Starlight Ventures Inc,First Round Capital (Fund: First Round Capital VII LP),Oxy Low Carbon Ventures LLC,Bethel Lands Corp Ltd,Carbon Order Ltd,Rusheen Capital Management LLC,Chevron ...",813.12,04-08-2023,62.14,28-08-2023,60.89,57425.56,-0.15,Completed
14-08-2023,2022,TS,Tenaris SA,590.46,0.0344,Green,Pipeline Performance Group LLC,Neutral,Mattr Corp,182.6,03-08-2023,30.34,24-08-2023,30.9,17171.72,2.12,Completed
11-08-2023,2022,AMRC,Ameresco Inc,324048,187.285,Brown,Clean energy asset/Bright Canyon Energy Corp,Green,Pinnacle West Capital Corp,,31-07-2023,58.21,21-08-2023,47.37,1730.24,0.89,Completed
02-08-2023,2022,NU,Eversource Energy,67.3,0.0023,Green,Community water system/Pinehills Water Co,Neutral,Pinehills Water Co Inc,,21-07-2023,7.92,14-08-2023,7.94,29327.57,1.14,Completed
01-08-2023,2022,VST,Vistra Corp,31607742.71,3404.6603,Brown,Tricor Group LLC,Neutral,,,21-07-2023,27.75,11-08-2023,29.49,9283.67,4.98,Completed
19-07-2023,2022,AMPS,Altus Power Inc,440.41,0.4145,Green,4.4 MW operating solar assets/Southern California,Green,Apollo Global Management Inc,,07-07-2023,5.82,31-07-2023,6.81,1062.4,0.79,Completed
18-07-2023,2022,BRY,Berry Corp,668476.67,1382.9503,Brown,Macpherson Energy Corp,Neutral,,70,07-07-2023,6.07,28-07-2023,6.51,483.37,4.6,Completed
13-07-2023,2022,XOM,Exxon Mobil Corp,109000000,255.0785,Brown,Denbury Inc,Neutral,,4522.62,30-06-2023,101.03,24-07-2023,99.4,427319.39,1.68,Completed
11-07-2023,2022,REI,Ring Energy Inc,191090,482.0757,Brown,Central Basin Platform asset/Founders Oil & Gas IV LLC,Brown,Founders Oil & Gas IV LLC,75,30-06-2023,1.71,21-07-2023,2.16,396.39,2.42,Completed
05-07-2023,2022,PTEN,Patterson-UTI Energy Inc,272020.56,60.3429,Brown,Ulterra Drilling Technologies LP,Neutral,Blackstone Inc,773.48,23-06-2023,10.92,17-07-2023,13.63,4507.91,-0.88,Completed
05-07-2023,2022,NXU,Nxu Inc,1258.65,0.6094,Green,21000 sq ft facility/Tempe,Neutral,,,23-06-2023,75.15,17-07-2023,86.25,2065.47,-59.15,Completed
30-06-2023,2022,CMI,Cummins Inc,154826.97,4.7939,Green,Hydrogenics Corp,Green,Air Liquide SA,,16-06-2023,225.96,10-07-2023,242.44,32296.99,1.33,Completed
30-06-2023,2022,NOG,Northern Oil and Gas Inc,351378.58,110.2084,Brown,Delaware Basin assets/Forge Energy II LLC,Neutral,Vital Energy Inc,,16-06-2023,30.86,10-07-2023,32.8,3188.31,1.28,Completed
20-06-2023,2022,CIVI,Civitas Resources Inc,1250800,235.1627,Brown,Hibernia Energy III LLC,Neutral,NGP Energy Capital Management LLC,2250,09-06-2023,60.9,30-06-2023,61.14,5318.87,1.01,Completed
15-06-2023,2022,PTEN,Patterson-UTI Energy Inc,272020.56,58.9891,Brown,NexTier Oilfield Solutions Inc,Brown,,2106.35,02-06-2023,10.56,26-06-2023,11.11,4611.37,-0.88,Completed
15-06-2023,2022,NOG,Northern Oil and Gas Inc,351378.58,115.045,Brown,Delaware basin assets/Northern,Neutral,Earthstone Energy Inc,468.4,02-06-2023,29.09,26-06-2023,30.3,3054.27,1.28,Completed
01-06-2023,2022,CEG,Constellation Energy Corp,9108347,331.4924,Brown,South Texas Project Electric Generating Station/Houston,Neutral,NRG Energy Inc,1750,19-05-2023,81.33,12-06-2023,92.64,27476.79,1.61,Completed
26-05-2023,2022,COP,ConocoPhillips,4988534.87,40.7143,Brown,Surmont Sand & Gravel Ltd,Neutral,TotalEnergies SE,3000,15-05-2023,94.82,05-06-2023,96.5,122525.3,1.88,Completed
25-05-2023,2022,SR,Spire Inc,350968.52,99.5119,Brown,"MoGas Pipeline LLC,Omega Pipeline Co LLC",Brown,CorEnergy Infrastructure Trust Inc,,12-05-2023,63.62,05-06-2023,59.52,3526.9,0.72,Completed
22-05-2023,2022,CVX,Chevron Corp,53000000,212.4748,Brown,PDC Energy Inc,Neutral,,7874.41,11-05-2023,143.78,01-06-2023,141.42,249441.32,1.26,Completed
12-05-2023,2022,VTLE,Vital Energy Inc,386367.84,239.4327,Brown,Forge Energy II LLC,Neutral,EnCap Investments LP,378,01-05-2023,46.16,22-05-2023,46.11,1613.68,-6.11,Completed
04-05-2023,2022,SUN,Sunoco LP,71428.03,13.5482,Brown,16 refined product terminals/East Coast & Midwes,Neutral,Zenith Energy Ltd,110,21-04-2023,39.64,15-05-2023,39.52,5272.13,0.72,Completed
03-05-2023,2022,CRGY,Crescent Energy Co,1123252,590.9769,Brown,Western Eagle Ford asset/US,Neutral,Mesquite Exploration Ltd,600,21-04-2023,10.65,15-05-2023,9.43,1900.67,-1.29,Completed
01-05-2023,2022,ENB,Enbridge Inc,7717086.43,99.3586,Brown,"Aitken Creek natural gas storage facility/British Columbia,Aitken Creek North gas storage facility/British Columbia",Brown,Fortis Inc/Canada,295.56,20-04-2023,35.47,11-05-2023,35.57,77669,0.27,Completed
28-04-2023,2022,TRP,TC Energy Corp,21133585.11,544.0234,Brown,155 MW Fluvanna Wind Farm/Scurry County,Green,,99,17-04-2023,38.1,08-05-2023,37.74,38846.83,0.84,Completed
27-04-2023,2022,SU,Suncor Energy Inc,16817507.15,479.451,Brown,TotalEnergies EP Canada Ltd,Neutral,TotalEnergies SE,1078.1,14-04-2023,30.42,08-05-2023,27.99,35076.59,0.91,Completed
20-04-2023,2022,WULF,Terawulf Inc,49.2,0.0892,Green,Nautilus Cryptomine facility,Neutral,Cumulus Coin LLC,,06-04-2023,1,01-05-2023,1.67,551.85,-5.6,Completed
12-04-2023,2022,WHD,Cactus Inc,8664.04,3.0038,Green,Flexsteel Pipeline Technologies Inc,Neutral,,,31-03-2023,40.51,24-04-2023,42.32,2884.36,2.68,Completed
11-04-2023,2022,D,Dominion Energy Inc,16875266.4,377.9847,Brown,108 MWdc Foxhound Solar project/Longroad Energy Holdings LLC,Green,Longroad Energy Holdings LLC,,31-03-2023,50.44,21-04-2023,52.06,44645.37,-0.07,Completed
10-04-2023,2022,LBRT,Liberty Energy Inc,1995196,939.7339,Brown,Siren Energy LLC,Neutral,,75.7,30-03-2023,12.28,20-04-2023,13.02,2123.15,1.57,Completed
03-04-2023,2022,OVV,Ovintiv Inc,2871927.31,286.8253,Brown,"PetroLegacy Energy I LLC,Piedra Resources LLC,Black Swan Oil & Gas LLC",Brown,EnCap Investments LP,4321.93,23-03-2023,32.56,13-04-2023,36.84,10012.81,-0.31,Completed
29-03-2023,2022,ADHI,Arsenal Digital Holdings Inc,17591.53,8337.218,Brown,Blackrock Midstream LLC,Neutral,,,17-03-2023,0.12,10-04-2023,0.22,2.11,-46.23,Completed
28-03-2023,2022,VRN,Veren Inc,719333,190.267,Brown,Spartans oil & liquids-rich Montney assets/Spartan Delta Corp,Brown,Spartan Delta Corp,1249.5,17-03-2023,5.41,10-04-2023,7.02,3780.65,1.25,Completed
27-03-2023,2022,ET,Energy Transfer LP,16765.4,0.4886,Green,Lotus Midstream LLC,Neutral,Encap Flatrock Midstream,1454.18,16-03-2023,10.35,06-04-2023,10.57,34315.01,0.86,Completed
27-03-2023,2022,WGO,Winnebago Industries Inc,7392.87,4.8501,Green,Lithionics Battery LLC,Neutral,,,16-03-2023,55.02,06-04-2023,53.1,1524.26,-0.23,Completed
24-03-2023,2022,SPRU,Spruce Power Holding Corp,108.62,0.8699,Green,SS Holdings 2017 LLC,Neutral,,,13-03-2023,6.11,03-04-2023,6.64,124.86,-6.63,Completed
08-03-2023,2022,KLXE,KLX Energy Services Holdings Inc,12508.74,54.6735,Brown,Greene's Energy Group LLC,Neutral,Denham Capital Management LP,,24-02-2023,12.63,20-03-2023,11.91,228.79,-1.68,Completed
06-03-2023,2022,VST,Vistra Corp,31607742.71,3958.0181,Brown,Energy Harbor Corp,Neutral,,6763,23-02-2023,21.66,16-03-2023,24.4,7985.75,4.98,Completed
03-03-2023,2022,EQNR,Equinor ASA,11434603.14,165.006,Brown,Suncor Energy UK Ltd,Neutral,Suncor Energy Inc,882.48,17-02-2023,25.03,13-03-2023,23.68,69298.09,1.69,Completed
02-03-2023,2022,PLUG,Plug Power Inc,17435.66,1.4002,Green,Alloy Custom Products LLC,Neutral,Cryogenic Industrial Solutions LLC,,17-02-2023,15.58,13-03-2023,12.4,12451.91,-4.47,Completed
02-03-2023,2022,PLUG,Plug Power Inc,17435.66,1.4002,Green,WesMor Cryogenics LLC,Neutral,Cryogenic Industrial Solutions LLC,,17-02-2023,15.58,13-03-2023,12.4,12451.91,-4.47,Completed
28-02-2023,2022,REPX,Riley Exploration Permian Inc,46928.07,78.4278,Brown,Oil & gas assets/Pecos Oil & Gas LLC,Brown,Pecos Oil & Gas LLC,330,17-02-2023,28.54,10-03-2023,30.18,598.36,2.57,Completed
16-02-2023,2022,DNOW,DNOW Inc,19243,13.2226,Brown,EcoVapor Recovery Systems LLC,Neutral,,,03-02-2023,13.89,27-02-2023,12.76,1455.31,1.42,Completed
15-02-2023,2022,VTLE,Vital Energy Inc,386367.84,183.3091,Brown,Driftwood Energy Operating LLC,Neutral,,212.94,03-02-2023,52.92,27-02-2023,52.15,2107.74,-6.11,Completed
06-02-2023,2022,GLNG,Golar LNG Ltd,777147.65,346.551,Brown,2.4 MTPA floating liquefaction facility,Neutral,New Fortress Energy Inc,193.72,26-01-2023,21.85,16-02-2023,21.67,2242.52,-0.8,Completed
24-01-2023,2022,MTDR,Matador Resources Co,973869,126.6531,Brown,Advance Energy Partners Holdings LLC,Neutral,EnCap Investments LP,1600,13-01-2023,58.07,03-02-2023,60.17,7689.26,1.98,Completed
18-01-2023,2022,SHEL,Shell PLC,41006166.52,255.8332,Brown,Volta Inc,Neutral,,149.16,06-01-2023,52.3,30-01-2023,53.36,160284.78,1.09,Completed
18-01-2023,2022,DUK,Duke Energy Corp,78800000,1088.5487,Brown,Pike Engineering LLC,Neutral,,,06-01-2023,95.9,30-01-2023,92.67,72389.96,0.65,Completed
05-01-2023,2022,PSX,Phillips 66,13882306.74,358.2899,Brown,DCP Midstream LP,Neutral,,3783.87,23-12-2022,95.88,17-01-2023,94.57,38746.02,0.01,Completed
04-01-2023,2022,HASI,HA Sustainable Infrastructure,0,0,Green,Portfolio of 1.3 GW renewables/US,Green,AES Corp/The,,23-12-2022,26.44,17-01-2023,30.71,3154.02,0.99,Completed
03-01-2023,2022,TRGP,Targa Resources Corp,8434072.29,575.162,Brown,Grand Prix NGL Pipeline,Neutral,Blackstone Inc,1050,23-12-2022,69.81,13-01-2023,71.75,14663.82,1.54,Completed
03-01-2023,2022,AMPS,Altus Power Inc,440.41,0.444,Green,220 mw solar assets/True Green Capital Management LLC,Green,True Green Capital Management LLC,293,23-12-2022,6.37,13-01-2023,8.41,992,0.79,Completed
03-01-2023,2022,SHEL,Shell PLC,41006166.52,266.8471,Brown,TF Hudgins Inc,Neutral,CapStreet Group LLC/The,,23-12-2022,52.78,13-01-2023,54.45,153669.15,1.09,Completed
21-12-2022,2021,AM,Antero Midstream Corp,850474.99,192.9552,Brown,Certain compression assets/Utica,Neutral,EnLink Midstream LLC,10,09-12-2022,8.81,03-01-2023,9.01,4407.63,1.93,Completed
19-12-2022,2021,LINK,Interlink Electronics Inc,1280.43,21.5742,Brown,"KWJ Engineering Inc,Spec Sensors LLC",Neutral,,2,08-12-2022,6.06,29-12-2022,5.67,59.35,-3.7,Completed
06-12-2022,2021,NRG,NRG Energy Inc,18279398.4,2843.3565,Brown,Vivint Smart Home Inc,Neutral,,5017.07,25-11-2022,39.35,16-12-2022,28.98,6428.81,2.68,Completed
28-11-2022,2021,PATK,Patrick Industries Inc,62251.64,54.0938,Brown,Transhield Inc,Neutral,Ancor Holdings LP,,17-11-2022,33.43,08-12-2022,35.46,1150.81,0.48,Completed
18-11-2022,2021,CVX,Chevron Corp,28582001.82,97.2412,Brown,Beyond6 LLC,Neutral,,,07-11-2022,168.04,28-11-2022,162.72,293928.9,1.26,Completed
18-11-2022,2021,CVX,Chevron Corp,28582001.82,97.2412,Brown,Beyond6 LLC,Neutral,"Mercuria Energy Trading Inc,Unknown Seller",,07-11-2022,168.04,28-11-2022,162.72,293928.9,1.26,Completed
16-11-2022,2021,FANG,Diamondback Energy Inc,1253208.51,30.0234,Brown,Lario Permian LLC,Neutral,Lario Oil & Gas Co,1494.76,04-11-2022,144.4,28-11-2022,130.38,41741.1,1.6,Completed
15-11-2022,2021,CMC,Commercial Metals Co,652075.75,125.3334,Brown,Metals recycling facility & related assets/Galveston,Neutral,"Kodiak Properties LLC,Kodiak Resources Inc",,04-11-2022,44.5,25-11-2022,46.57,5202.73,-2.59,Completed
11-11-2022,2021,AIV,Apartment Investment and Management Co,2054.3,2.0031,Green,Howard Energy Partners,Neutral,,,31-10-2022,7.41,21-11-2022,7.46,1025.58,-0.5,Completed
07-11-2022,2021,CPK,Chesapeake Utilities Corp,221805,95.1397,Brown,Planet Found Energy Development LLC,Neutral,,9.4,27-10-2022,118.41,17-11-2022,108.56,2331.36,1.02,Completed
02-11-2022,2021,PUMP,ProPetro Holding Corp,14877.68,13.291,Brown,Silvertip Completion Services,Neutral,,136.16,21-10-2022,11.28,14-11-2022,11.33,1119.38,-1.39,Completed
02-11-2022,2021,CEG,Constellation Energy Corp,11387377.59,399.1309,Brown,Rebate Business/Bill Identity Ltd,Neutral,Optima Technology Group Ltd,2.8,21-10-2022,85.5,14-11-2022,92.15,28530.43,1.61,Completed
02-11-2022,2021,WTTR,Select Water Solutions Inc,335852.06,378.2459,Brown,"Breakwater Energy Partners LLC,Breakwater & water pipeline assets/Cypress Environmental Services LLC",Neutral,Cypress Environmental Partners,,21-10-2022,8.12,14-11-2022,8.15,887.92,-0.12,Completed
27-10-2022,2021,ARIS,Aris Water Solution Inc,19451.67,41.8901,Brown,Intellectual property rights and related proprietary treatment technologies,Neutral,Water Standard Management US Inc,,14-10-2022,12.88,07-11-2022,15.68,464.35,0.53,Completed
26-10-2022,2021,BH,Biglari Holdings Inc,6418.04,23.0384,Brown,Abraxas Petroleum Corp,Brown,,54.9,14-10-2022,125.97,07-11-2022,141.95,278.58,3.71,Completed
26-10-2022,2021,PROP,Prairie Operating Co,301.26,2.2299,Green,Prairie Operating Co LLC,Neutral,,28.2,14-10-2022,6.47,07-11-2022,4.41,135.1,-10.66,Completed
26-10-2022,2021,NOA,North American Construction Group Ltd,10842.84,36.3025,Brown,ML Northern Services Ltd,Neutral,,11.06,14-10-2022,10.19,07-11-2022,12.4,298.68,0.82,Completed
18-10-2022,2021,D,Dominion Energy Inc,15471297.2,309.5993,Brown,Energy Storage Project/East Point Energy,Neutral,East Point Energy LLC,,07-10-2022,56.75,28-10-2022,61.18,49972,-0.07,Completed
12-10-2022,2021,FANG,Diamondback Energy Inc,1253208.51,34.2749,Brown,Firebird Energy LLC,Neutral,,1555.05,30-09-2022,107.79,24-10-2022,137.14,36563.48,1.6,Completed
11-10-2022,2021,NOG,Northern Oil and Gas Inc,342025.42,127.5524,Brown,Non operated interests/Northern Delaware Basin,Neutral,,130,30-09-2022,24.88,21-10-2022,31.29,2681.45,1.28,Completed
30-09-2022,2021,NOG,Northern Oil and Gas Inc,342025.42,138.7212,Brown,Non operated interests/Delaware Basin,Neutral,Alpha Energy Partners LLC,157.5,19-09-2022,27.75,10-10-2022,29.78,2465.56,1.28,Completed
29-09-2022,2021,DTM,DT Midstream Inc,39311.39,8.2454,Green,Millennium Pipeline Co LLC,Neutral,National Grid PLC,552,16-09-2022,50.32,10-10-2022,47.89,4767.69,0.73,Completed
29-09-2022,2021,DTM,DT Midstream Inc,39311.39,8.2454,Green,Millennium Pipeline/US,Neutral,National Grid PLC,552,16-09-2022,50.32,10-10-2022,47.89,4767.69,0.73,Completed
29-09-2022,2021,BN,Brookfield Corp,778802.78,15.9747,Brown,Standard Solar Inc,Green,Energir Inc,530,16-09-2022,38.12,10-10-2022,31.78,48752.31,0.01,Completed
29-09-2022,2021,ENB,Enbridge Inc,7431128,103.668,Brown,Tri Global Energy LLC,Neutral,"Altius Minerals Corp,Unknown Seller",270,16-09-2022,35.77,10-10-2022,31.77,71682,0.27,Completed
23-09-2022,2021,ETR,Entergy Corp,35663689,1768.5313,Brown,475 MW Solar Gnerating capacity/US,Green,,,12-09-2022,52.31,03-10-2022,44.56,20165.71,0.44,Completed
22-09-2022,2021,TALO,Talos Energy Inc,1143630.47,361.4908,Brown,Enven Energy Corp,Neutral,,1108.47,09-09-2022,20.31,03-10-2022,18.74,3163.65,-1.04,Completed
13-09-2022,2021,AM,Antero Midstream Corp,850474.99,212.0277,Brown,Marcellus natural gas gathering & compression assets/West Virginia,Brown,Crestwood Equity Partners LP,205,02-09-2022,8.31,23-09-2022,7.57,4011.15,1.93,Completed
12-09-2022,2021,ARKO,Arko Corp,79943.64,69.0897,Brown,Transit Energy Group LLC,Neutral,,370,01-09-2022,9.26,22-09-2022,9.31,1157.1,-0.06,Completed
09-09-2022,2021,SPRU,Spruce Power Holding Corp,179.52,1.031,Green,Spruce Power Holdings LLC,Neutral,HPS Investment Partners LLC,58,29-08-2022,9.36,19-09-2022,8.4,174.12,-6.63,Completed
07-09-2022,2021,EQT,EQT Corp,213267.11,8.0836,Green,"Upstream assets/THQ Appalachia I LLC,Gathering & processing assets/THQ-XcL Holdings I LLC",Neutral,Quantum Energy Partners LLC,4939.63,26-08-2022,47.68,19-09-2022,45.45,26382.54,1.05,Completed
18-08-2022,2021,ABM,ABM Industries Inc,37273.09,12.9889,Brown,RavenVolt Inc,Neutral,,170,05-08-2022,42.32,29-08-2022,44.36,2869.61,-0.23,Completed
18-08-2022,2021,ENB,Enbridge Inc,7431128,90.1981,Brown,Gray Oak Pipeline LLC,Neutral,Phillips 66,,05-08-2022,36.75,29-08-2022,38.33,82386.76,0.27,Completed
17-08-2022,2021,NOG,Northern Oil and Gas Inc,342025.42,131.2016,Brown,Non operated interests/Midland Basin,Neutral,,110,05-08-2022,24.05,29-08-2022,29.33,2606.87,1.28,Completed
15-08-2022,2021,BKR,Baker Hughes Co,391346,16.6103,Brown,Quest Integrity Group LLC,Neutral,Team Inc,280,04-08-2022,22.13,25-08-2022,25.07,23560.5,3.07,Completed
11-08-2022,2021,KMI,Kinder Morgan Inc,14100000,395.8166,Brown,North American Natural Resources Inc,Neutral,,135,29-07-2022,15.51,22-08-2022,16.01,35622.56,0.93,Completed
09-08-2022,2021,DVN,Devon Energy Corp,1543105.45,46.2823,Brown,Validus Energy Aquilas Assetco LLC,Neutral,,1800,29-07-2022,54.73,19-08-2022,59.65,33341.14,2.1,Completed
09-08-2022,2021,APA,APA Corp,3844050.62,347.2811,Brown,Mining properties/Texas Delaware Basin,Neutral,,505,29-07-2022,34.49,19-08-2022,33.55,11068.99,1.83,Completed
09-08-2022,2021,EVRG,Evergy Inc,26540373,1849.6026,Brown,199 MW Persimmon creek wind Farm/Oklahoma,Green,"Gestamp Eolica SL,Scout Clean Energy LLC",250,29-07-2022,61.24,19-08-2022,64.51,14349.23,0.24,Completed
09-08-2022,2021,EVRG,Evergy Inc,26540373,1849.6026,Brown,Wind farm/Oklahoma,Green,,,29-07-2022,61.24,19-08-2022,64.51,14349.23,0.24,Completed
04-08-2022,2021,ET,Energy Transfer LP,12051.29,0.3997,Green,Woodford Express LLC,Neutral,Xplorer Midstream LLC,485,22-07-2022,8.11,15-08-2022,9.35,30147.96,0.86,Completed
04-08-2022,2021,ARIS,Aris Water Solution Inc,19451.67,38.5273,Brown,Delaware Energy Services LLC,Neutral,,128.8,22-07-2022,17.28,15-08-2022,16.46,504.88,0.53,Completed
03-08-2022,2021,BWA,BorgWarner Inc,99997.34,13.6104,Brown,Rhombus Energy Solutions Inc,Neutral,"Nabtesco Corp,Inci Holding AS,Golden Regent Electronics Industrial Ltd,Greenhouse Capital Partners (Fund: Greenhouse Capital Partners II LP),Cycle Capital Management CCM Inc (Fund: Cycle Capital Fund IV LP),Emerald Technology Ventures AG (Fund: Emerald Water Innovation Impact Fund LP)",130,22-07-2022,30.96,15-08-2022,33.76,7347.13,-2.89,Completed
03-08-2022,2021,AEP,American Electric Power Co Inc,28544859.42,597.8464,Brown,595 MW Cardinal Plant Unit 1/Brilliant,Neutral,AEP Generation Resources Inc,,22-07-2022,84.83,15-08-2022,94.75,47746.14,0.64,Completed
28-07-2022,2021,PBF,PBF Energy Inc,14160000,4169.464,Brown,PBF Logistics LP,Neutral,,1096.91,15-07-2022,25.8,08-08-2022,28.25,3396.12,-2.28,Completed
25-07-2022,2021,SHEL,Shell PLC,45504846.91,336.4136,Brown,Shell Midstream Partners LP,Neutral,,1963.6,14-07-2022,41.38,04-08-2022,45.82,135264.59,1.09,Completed
20-07-2022,2021,BLK,BlackRock Inc,5308,0.0576,Green,Vanguard Renewables LLC,Green,Vision Ridge Partners LLC,,08-07-2022,579.79,01-08-2022,628.3,92218.81,1.2,Completed
19-07-2022,2021,KMI,Kinder Morgan Inc,14100000,431.7385,Brown,3 landfill assets/Mas CanAm LLC,Neutral,MAS CanAm LLC,355,08-07-2022,14.41,29-07-2022,15.51,32658.66,0.93,Completed
14-07-2022,2021,EGY,VAALCO Energy Inc,107795.82,225.4199,Brown,TransGlobe Energy Corp,Neutral,,328.51,01-07-2022,6.02,25-07-2022,4.76,478.2,1.17,Completed
07-07-2022,2021,POR,General Electric Co,5859714,1221.1935,Brown,Nexus Controls LLC,Neutral,Baker Hughes Co,,24-06-2022,42.28,18-07-2022,44.32,4798.35,0.3,Completed
05-07-2022,2021,REI,Ring Energy Inc,121754.81,239.9677,Brown,"Stronghold Energy II Operating LLC,Stronghold Energy II Royalties LP",Neutral,"Warburg Pincus LLC,Unknown Seller",262.51,24-06-2022,2.91,15-07-2022,2.41,507.38,2.42,Completed
05-07-2022,2021,NNI,Nelnet Inc,993.76,0.4636,Green,Grne Solutions LLC,Neutral,,,24-06-2022,83.55,15-07-2022,87.56,2143.43,0.46,Completed
17-06-2022,2021,TRGP,Targa Resources Corp,7006559.46,562.4334,Brown,Lucid Energy Group LLC,Neutral,"Goldman Sachs Asset Management LP,Encap Flatrock Midstream,Riverstone Holdings LLC (Fund: Riverstone Pattern Energy II LP)",3550,06-06-2022,71.92,27-06-2022,57.21,12457.58,1.54,Completed
09-06-2022,2021,DVN,Devon Energy Corp,1543105.45,35.6818,Brown,Leasehold interest & related assets/RimRock Oil and Gas LP,Brown,Rimrock Oil & Gas LP,865,27-05-2022,64.93,21-06-2022,52.73,43246.35,2.1,Completed
08-06-2022,2021,NOG,Northern Oil and Gas Inc,342025.42,106.6157,Brown,Non operated interests/Williston Basin,Neutral,,158,27-05-2022,29.74,21-06-2022,27.52,3208.02,1.28,Completed
01-06-2022,2021,MYE,Myers Industries Inc,51316.83,60.2933,Brown,Mohawk Rubber Sales of NE Inc,Neutral,ISO New England Inc,27.8,20-05-2022,20.8,13-06-2022,21.4,851.12,-1.2,Completed
31-05-2022,2021,SU,Suncor Energy Inc,10848667.93,243.0583,Brown,White Rose asset,Neutral,Cenovus Energy Inc,39.58,20-05-2022,34.02,10-06-2022,37.25,44634.01,0.91,Completed
31-05-2022,2021,PROP,Prairie Operating Co,301.26,0.6603,Green,Certain energy assets/South Dakota,Neutral,Highwire Energy Partners LLC,,20-05-2022,17.94,10-06-2022,13.85,456.26,-10.66,Completed
26-05-2022,2021,FF,FutureFuel Corp,33963.84,170.2022,Brown,Cebolleta Uranium Project/Cibola County,Neutral,Encore Energy Corp,92.72,13-05-2022,4.38,06-06-2022,4.91,199.55,-0.47,Completed
19-05-2022,2021,PR,Permian Resources Corp,412347,91.8192,Brown,Colgate Energy Partners III LLC,Neutral,,2612.61,06-05-2022,7.46,31-05-2022,7.31,4490.86,1.28,Completed
17-05-2022,2021,HLX,Helix Energy Solutions Group Inc,205000,312.2287,Brown,Alliance Offshore LLC,Neutral,,120,06-05-2022,4.34,27-05-2022,4.64,656.57,0.77,Completed
16-05-2022,2021,FANG,Diamondback Energy Inc,1253208.51,37.7154,Brown,Rattler Midstream LP,Neutral,,1281.66,05-05-2022,118.33,26-05-2022,128.03,33228.01,1.6,Completed
05-05-2022,2021,CAT,Caterpillar Inc,191752.67,1.9601,Green,Tangent Energy Solutions Inc,Neutral,,,22-04-2022,205.04,16-05-2022,196.41,97829.06,3.18,Completed
03-05-2022,2021,RDUS,Radius Recycling Inc,74231.03,65.3569,Brown,Operating assets/Encore Recycling LLC,Neutral,Encore Recycling LLC,,22-04-2022,47.05,13-05-2022,34.12,1135.78,-2.46,Completed
28-04-2022,2021,HPK,HighPeak Energy Inc,121707.36,32.6241,Brown,Howard County assets,Neutral,Hannathon Petroleum LLC,345.37,14-04-2022,30.02,09-05-2022,26.23,3730.6,1.63,Completed
27-04-2022,2021,CHX,ChampionX Corp,76396,19.4329,Brown,Leak Surveys Inc,Neutral,,3.7,14-04-2022,24.37,09-05-2022,19.61,3931.28,2.39,Completed
26-04-2022,2021,ST,Sensata Technologies Holding PLC,10328.08,1.5758,Green,Dynapower Co LLC,Neutral,Pfingsten Partners LLC,580,14-04-2022,45.65,06-05-2022,44.07,6554.04,-0.34,Completed
20-04-2022,2021,BKR,Baker Hughes Co,391346,12.0428,Brown,Mosaic Materials Inc,Neutral,"Baruch Future Ventures LLC,Unknown Seller,Evok Innovations Inc",,08-04-2022,34.86,02-05-2022,28.71,32496.33,3.07,Completed
19-04-2022,2021,ALE,ALLETE Inc,1733893.46,537.6414,Brown,New Energy Equity,Neutral,,165.5,08-04-2022,56.68,29-04-2022,51.8,3225,0.75,Completed
11-04-2022,2021,SUN,Sunoco LP,114567.02,24.7877,Brown,Gladieux Energy LLC,Neutral,,190,31-03-2022,33.15,21-04-2022,34.19,4621.93,0.72,Completed
04-04-2022,2021,HPK,HighPeak Energy Inc,121707.36,43.206,Brown,Oil & gas properties/Permian Basin,Brown,Alamo Frac Holdings LLC,201,24-03-2022,21.1,14-04-2022,30.02,2816.91,1.63,Completed
04-04-2022,2021,AMTX,Aemetis Inc,55040.79,84.1294,Brown,8.5 acre property/California,Neutral,,2,24-03-2022,11.22,14-04-2022,13.17,654.24,-7.25,Completed
31-03-2022,2021,FCPT,Four Corners Property Trust Inc,2592.86,1.1115,Green,Express Oil Change property,Brown,,1.5,18-03-2022,22.68,11-04-2022,24.28,2332.75,0.99,Completed
28-03-2022,2021,USDP,USD Partners LP,3519.15,19.9239,Brown,Hardisty South terminal assets/USD Group LLC,Neutral,USD Group LLC,107.47,17-03-2022,5.01,07-04-2022,5.52,176.63,-2.68,Completed
18-03-2022,2021,ROAD,Construction Partners Inc,18720.01,15.5223,Brown,Asphalt & Sitework business/GAC Contractors Inc,Neutral,GAC Contractors Inc,,07-03-2022,25.83,28-03-2022,25.68,1206.01,-0.12,Completed
